game,file,title,ls,le,d,decoded_samples,full_samples,len_diff,jump,best_k,residual
th155,story08.ogg,開演間近,7.36498866213152,69.18308390022676,80.07775510204081,3531429,3531429,0,4122,-1456,72
th155,story09.ogg,天衣無縫　～ Yellow Lily,10.538072562358277,74.53798185941044,86.01321995464852,3793183,3793183,0,5657,-1433,139
th155,ending.ogg,行雲流水,5.340113378684808,75.26269841269841,80.62630385487529,3555620,3555620,0,117,-1744,8
th155,th155op1.ogg,異変の種子,12.008253968253968,87.00825396825397,93.01108843537415,4101789,4101789,0,525,-655,27
th155,th155op2.ogg,疑惑の芽生え,12.009387755102042,87.009410430839,93.0111111111111,4101790,4101790,0,333,1912,135
th155,staffroll0.ogg,未だ蕾む憑依華,,,86.47426303854876,3813515,3813515,0,,,
th155,th155op3.ogg,真相へ繋がる枝葉,12.009229024943311,87.00922902494331,93.01092970521542,4101782,4101782,0,1081,1020,101
th155,staffroll1.ogg,咲き誇る憑依華,,,101.48734693877552,4475592,4475592,0,,,
th155,th155op4.ogg,舞い散る憑依華吹雪,12.009614512471655,87.00961451247166,93.01129251700681,4101798,4101798,0,1179,-1369,8
th155,staffroll2.ogg,悠久の蒸気機関,,,97.9331746031746,4318853,4318853,0,,,
th175,op.ogg,水没した沈愁地獄,9.6,81.6,88.95315192743764,3922834,3922834,0,418,14,95
th175,staff_roll.ogg,東方剛欲異聞,,,140.5962358276644,6200294,6200294,0,,,
th175,talk_ed.ogg,天理人欲,3.532902494331066,79.76818594104309,82.17380952380952,3623865,3623865,0,1455,401,40
th175,talk_forest.ogg,魔法使いの憂鬱,16.337891156462586,86.15603174603174,87.42904761904762,3855621,3855621,0,284,-236,4
th175,talk_underground.ogg,暗闇の風穴,8.821995464852607,121.76319727891156,135.5707029478458,5978668,5978668,0,512,970,31
th175,talk_town.ogg,旧地獄街道を行く,3.4989342403628116,48.49895691609977,54.71795918367347,2413062,2413062,0,167,1784,6
th175,talk_Inferno.ogg,業火マントル,10.499002267573696,115.62439909297052,123.72798185941043,5456404,5456404,0,1506,-1044,24
th175,talk_reactor.ogg,御柱の墓場,13.165668934240363,113.00566893424036,119.57764172335601,5273374,5273374,0,187,1496,32
th175,talk_oil.ogg,大地の底、剛欲の海,4.39485260770975,103.70600907029478,109.11791383219955,4812100,4812100,0,827,-86,106
th175,talk_waterhell.ogg,不朽の曼珠沙華,20.66575963718821,100.66569160997733,105.91394557823129,4670805,4670805,0,79,-14,8
th175,talk_scarlet.ogg,魔法少女達の百年祭,9.526530612244898,164.11478458049888,165.43755102040816,7295796,7295796,0,376,-158,96
th175,reimu1.ogg,少女綺想曲,32.49455782312925,125.58544217687074,131.44478458049886,5796715,5796715,0,591,-1217,62
th175,marisa1.ogg,恋色マスタースパーク,5.451360544217687,98.17868480725623,106.97444444444444,4717573,4717573,0,113,-1758,52
th175,yamame1.ogg,封じられた妖怪,6.831655328798186,109.18460317460317,114.93492063492063,5068630,5068630,0,447,1451,200
th175,kogasa1.ogg,万年置き傘にご注意を,102.06925170068027,206.89684807256236,226.4972335600907,9988528,9988528,0,314,-1695,43
th175,murasa1.ogg,キャプテンムラサ,9.001043083900226,138.8834013605442,145.7251247165533,6426478,6426478,0,1400,-1287,45
th175,kanako1.ogg,神さびた古戦場,23.09596371882086,166.3640589569161,166.70222222222222,7351568,7351568,0,2530,-1939,30
